year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Clam Soft,Penobscot,Hancock,D,Live Pounds,75474,115382.41,378,50
2008,Clam Soft,Perry,Washington,A,Live Pounds,43090.25,52683.05,919,41
2008,Clam Soft,Phippsburg,Sagadahoc,E,Live Pounds,199520.8,273835.316,2445,44
2008,Clam Soft,Roque Bluffs,Washington,A,Live Pounds,114493.31,130662.83,1903,45
2008,Clam Soft,Scarborough,Cumberland,G,Live Pounds,404969.79,539466.405,3122,53
2008,Clam Soft,Sedgwick,Hancock,C,Live Pounds,65373.76,81721.59,713,52
2008,Clam Soft,Sheepscot,Lincoln,E,Live Pounds,5168,9501.2,34,4
2008,Clam Soft,Sorrento,Hancock,B,Live Pounds,11976.33,15747.755,123,29
2008,Clam Soft,South Bristol,Lincoln,E,Live Pounds,54051.46,81676.25,312,25
2008,Clam Soft,South Thomaston,Knox,D,Live Pounds,49431.5,61257.4,442,69
2008,Clam Soft,Spruce Head,Knox,D,Live Pounds,4647.01,6093.45,50,23
2008,Clam Soft,St. George,Knox,D,Live Pounds,477684.3,657764.6,4208,128
2008,Clam Soft,Steuben,Washington,A,Live Pounds,94739.13,121812.97,1050,75
2008,Clam Soft,Stonington,Hancock,C,Live Pounds,147159.46,178760.669,1608,76
2008,Clam Soft,Sullivan,Hancock,B,Live Pounds,72942.93,93584.095,683,77
2008,Clam Soft,Sullivan,Hancock,UK,Live Pounds,233,279.6,2,1
2008,Clam Soft,Surry,Hancock,B,Live Pounds,13463.91,15997.42,72,9
2008,Clam Soft,Swans Island,Hancock,B,Live Pounds,43577.07,56342.98,215,18
2008,Clam Soft,Thomaston,Knox,D,Live Pounds,83478,127354.6,441,42
2008,Clam Soft,Trenton,Hancock,B,Live Pounds,35513.69,45754.298,345,48
2008,Clam Soft,Vinalhaven,Knox,C,Live Pounds,32981,46910.1,218,29
2008,Clam Soft,Waldoboro,Lincoln,D,Live Pounds,894923.22,1118543.121,10452,240
2008,Clam Soft,West Bath,Sagadahoc,E,Live Pounds,189659.25,303884.012,1283,33
2008,Clam Soft,Westport Island,Lincoln,E,Live Pounds,4257.25,5847.74,106,4
2008,Clam Soft,Whiting,Washington,A,Live Pounds,44632.44,64110.25,430,19
2008,Clam Soft,Wiscasset,Lincoln,E,Live Pounds,3512.19,5875.95,41,13
2008,Clam Soft,Woolwich,Sagadahoc,E,Live Pounds,51404.17,80221.413,425,14
2008,Clam Soft,Yarmouth,Cumberland,F,Live Pounds,143579.9,205274.42,471,23
2008,Cod Atlantic,Other Maine,Not-Specified,UK,Live Pounds,27043.88,44855.846,43,11
2008,Cod Atlantic,Port Clyde,Knox,D,Live Pounds,26739.51,41298.402,74,26
2008,Cod Atlantic,Portland,Cumberland,F,Live Pounds,1270683.37,3683093.826,1771,58
2008,Crab Atlantic Rock,Bar Harbor,Hancock,B,Live Pounds,26354.2,11221.08,310,16
2008,Crab Atlantic Rock,Bass Harbor,Hancock,B,Live Pounds,74015,29083.81,443,54
2008,Crab Atlantic Rock,Beals,Washington,A,Live Pounds,40300,16627.4,295,44
2008,Crab Atlantic Rock,Blue Hill,Hancock,C,Live Pounds,56622.1,22324.875,333,14
