,Unnamed: 0,year,species,port,county,weight_type,weight,value,number_harvesters,price_per_lb
528,528,2009,Lobster American,Phippsburg,Sagadahoc,Live Pounds,541789.0,1759730.28,44,3.247999276
529,529,2009,Lobster American,Pine Point,Cumberland,Live Pounds,55440.23,176555.942,9,3.184617777
530,530,2009,Lobster American,Port Clyde,Knox,Live Pounds,2812726.47,7720441.671,189,2.744824907
531,531,2009,Lobster American,Portland,Cumberland,Live Pounds,2434758.4,7571998.949,241,3.109959062
532,532,2009,Lobster American,Prospect Harbor,Hancock,Live Pounds,591932.0,1801115.4,28,3.04277417
533,533,2009,Lobster American,Rockland,Knox,Live Pounds,2717723.89,8015821.802,204,2.949461434
534,534,2009,Lobster American,Rockport,Knox,Live Pounds,169698.69,480336.909,23,2.830528091
535,535,2009,Lobster American,Round Pond,Lincoln,Live Pounds,435866.89,1140833.415,41,2.617389486
536,536,2009,Lobster American,Saco,York,Live Pounds,54599.4,181999.1,21,3.33335348
537,537,2009,Lobster American,Scarborough,Cumberland,Live Pounds,252854.65,787642.913,31,3.115002682
538,538,2009,Lobster American,South Bristol,Lincoln,Live Pounds,1505896.02,4265916.28,100,2.83280932
539,539,2009,Lobster American,South Thomaston,Knox,Live Pounds,425200.63,1224540.68,23,2.879912666
540,540,2009,Lobster American,Southwest Harbor,Hancock,Live Pounds,1508116.27,5065990.876,150,3.359151398
541,541,2009,Lobster American,Spruce Head,Knox,Live Pounds,2962924.63,7079176.525,148,2.389252988
542,542,2009,Lobster American,St. George,Knox,Live Pounds,93182.84,316313.61,11,3.394547859
543,543,2009,Lobster American,Steuben,Washington,Live Pounds,1413494.9,4125765.006,84,2.918839683
544,544,2009,Lobster American,Stonington,Hancock,Live Pounds,9155486.1,25752633.48,376,2.812808976
545,545,2009,Lobster American,Sullivan,Hancock,Live Pounds,90182.5,290368.909,13,3.219792188
546,546,2009,Lobster American,Swans Island,Hancock,Live Pounds,2112753.39,6283812.08,128,2.974228847
547,547,2009,Lobster American,Tenants Harbor,Knox,Live Pounds,1694345.52,4535460.024,87,2.676821209
548,548,2009,Lobster American,Tremont,Hancock,Live Pounds,457454.51,1464825.188,66,3.202122082
549,549,2009,Lobster American,Trenton,Hancock,Live Pounds,126189.75,396257.638,31,3.140172938
