,Unnamed: 0.1,year,weight,value,number_harvesters,price_per_lb,clusters,cluster
337,1445,2012,1269704.56,3788364.155,52,2.98365799,0,pink
338,1446,2012,2789986.25,7391433.36,88,2.649272325,2,dark purple
339,1447,2012,19592.29,72056.815,7,3.677814845,0,pink
340,1448,2012,1232560.65,3193497.15,49,2.590945241,0,pink
341,1449,2012,1837.8,7298.7,3,3.971433235,0,pink
342,1450,2012,802447.3,2460245.525,39,3.06592785,0,pink
343,1451,2012,288876.12,937354.015,13,3.244830397,0,pink
344,1452,2012,268165.26,753195.334,14,2.80869839,0,pink
345,1453,2012,99963.3,299306.755,14,2.994166409,0,pink
346,1454,2012,11022430.67,29373455.94,465,2.664880081,1,purple
347,1455,2012,7683.45,23744.94,4,3.090400797,0,pink
348,1456,2012,65.0,260.0,1,4.0,0,pink
349,1457,2012,2413360.58,6901729.235,53,2.859800269,2,dark purple
350,1458,2012,48021.91,180177.68,16,3.75198904,0,pink
351,1459,2012,25762.6,76676.34,4,2.976265594,0,pink
352,1460,2012,3368747.85,8745820.934,126,2.596163715,2,dark purple
353,1461,2012,3524442.56,11005767.87,196,3.122697471,2,dark purple
354,1462,2012,817131.0,2423551.64,37,2.965927911,0,pink
355,1463,2012,3483138.19,9728996.411,176,2.793169803,2,dark purple
356,1464,2012,575283.52,1543504.978,20,2.683033538,0,pink
357,1465,2012,473707.8,1219059.65,32,2.573442215,0,pink
358,1466,2012,56363.3,182452.23,15,3.237075012,0,pink
359,1467,2012,399675.34,1231414.353,38,3.081036606,0,pink
360,1468,2012,706048.65,1490193.515,39,2.110610246,0,pink
361,1469,2012,1541863.15,4170544.913,103,2.704873589,0,pink
362,1470,2012,582491.5,1656606.35,29,2.8440009,0,pink
363,1471,2012,488758.0,1400693.62,32,2.865822391,0,pink
364,1472,2012,2502609.25,7526209.384,97,3.007344988,2,dark purple
365,1473,2012,3865569.5,9366284.117,136,2.423002385,2,dark purple
366,1474,2012,166079.4,520092.76,15,3.131591034,0,pink
367,1475,2012,2076861.85,5614839.183,87,2.703520787,0,pink
368,1476,2012,64721.63,188080.258,8,2.905987658,0,pink
369,1477,2012,18594681.8,46545972.22,371,2.503187348,1,purple
370,1478,2012,96025.6,282904.75,9,2.946138842,0,pink
371,1479,2012,21407.0,57374.9,5,2.680193395,0,pink
372,1480,2012,3035162.2,8121030.085,97,2.675649455,2,dark purple
373,1481,2012,2423105.44,5732646.507,85,2.365826271,0,pink
374,1482,2012,12766.0,38433.5,7,3.010614131,0,pink
375,1483,2012,106289.3,299484.325,18,2.817633807,0,pink
376,1484,2012,10119602.45,27431714.35,233,2.710750198,1,purple
377,1485,2012,22753.0,71963.8,10,3.16282688,0,pink
378,1486,2012,1764086.95,4481998.303,42,2.54069013,0,pink
379,1487,2012,190366.1,479151.24,15,2.516998772,0,pink
380,1488,2012,666308.09,2146906.46,30,3.222092741,0,pink
381,1743,2013,1914946.47,4686346.673,89,2.447246827,0,pink
382,1744,2013,1708133.87,5291521.829,75,3.097837893,0,pink
383,1745,2013,1698350.68,4982828.567,36,2.933922084,0,pink
384,1746,2013,2909819.4,8810716.005,83,3.027925377,2,dark purple
385,1747,2013,5865174.7,14497891.65,238,2.471860156,2,dark purple
386,1748,2013,339862.5,1013470.76,39,2.98200231,0,pink
387,1749,2013,170454.62,589310.459,19,3.457286514,0,pink
388,1750,2013,1710358.97,4882852.715,65,2.854870118,0,pink
389,1751,2013,1428414.95,4687989.215,110,3.281951939,0,pink
